 , N/A , Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        132 K
smss.exe                       252 Services                   0      1 , 176 K
csrss.exe                      340 Services                   0      4 , 424 K
csrss.exe                      412 Console                    1      4 , 572 K
wininit.exe                    428 Services                   0      6 , 472 K
winlogon.exe                   468 Console                    1     14 , 640 K
services.exe                   536 Services                   0      7 , 076 K
lsass.exe                      544 Services                   0     13 , 768 K
svchost.exe                    612 Services                   0     21 , 784 K
fontdrvhost.exe                632 Services                   0      3 , 672 K
fontdrvhost.exe                640 Console                    1      4 , 732 K
svchost.exe                    708 Services                   0      9 , 840 K
dwm.exe                        820 Console                    1     48 , 844 K
svchost.exe                    892 Services                   0     43 , 544 K
svchost.exe                    904 Services                   0     21 , 976 K
svchost.exe                    976 Services                   0     12 , 272 K
svchost.exe                     88 Services                   0     19 , 580 K
svchost.exe                    308 Services                   0     18 , 028 K
svchost.exe                    996 Services                   0      9 , 028 K
svchost.exe                   1192 Services                   0     13 , 060 K
VSSVC.exe                     1424 Services                   0      7 , 740 K
svchost.exe                   1468 Services                   0      7 , 448 K
svchost.exe                   1584 Services                   0      6 , 240 K
svchost.exe                   1596 Services                   0      7 , 392 K
svchost.exe                   1884 Services                   0     17 , 276 K
SecurityHealthService.exe     1896 Services                   0      7 , 224 K
VmRemoteGuest.exe             1904 Services                   0      5 , 824 K
sihost.exe                    1436 Console                    1     20 , 872 K
GoogleUpdate.exe              1660 Services                   0        928 K
taskhostw.exe                    8 Console                    1     17 , 060 K
explorer.exe                  2200 Console                    1     66 , 324 K
svchost.exe                   2268 Services                   0      7 , 144 K
ShellExperienceHost.exe       2564 Console                    1     54 , 836 K
SearchUI.exe                  2608 Console                    1     82 , 984 K
RuntimeBroker.exe             2736 Console                    1     34 , 484 K
WmiPrvSE.exe                  2764 Services                   0     11 , 784 K
backgroundTaskHost.exe        2996 Console                    1     23 , 068 K
RemindersServer.exe           3064 Console                    1     14 , 580 K
GoogleUpdate.exe              3484 Services                   0      6 , 128 K
msiexec.exe                   3572 Services                   0     10 , 580 K
backgroundTaskHost.exe        3780 Console                    1     34 , 392 K
svchost.exe                   3360 Services                   0      5 , 396 K
cmd.exe                       2136 Console                    1      3 , 848 K
conhost.exe                   2472 Console                    1     15 , 976 K
Detonate.exe                  2496 Console                    1     23 , 456 K
Sysmon64.exe                  3892 Services                   0     19 , 388 K
unsecapp.exe                  3820 Services                   0      6 , 352 K
Sysmon64.exe                  1844 Console                    1      7 , 924 K
BackgroundTransferHost.ex     4012 Console                    1     12 , 640 K
WmiPrvSE.exe                  2932 Services                   0      8 , 332 K
loder.exe                     3756 Console                    1     13 , 092 K
conhost.exe                   3532 Console                    1     16 , 040 K
tasklist.exe                  2220 Console                    1      7 , 604 K , Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        148 K
Registry                        72 Services                   0     20 , 560 K
smss.exe                       284 Services                   0      1 , 176 K
csrss.exe                      388 Services                   0      5 , 516 K
csrss.exe                      460 Console                    1      5 , 800 K
wininit.exe                    504 Services                   0      7 , 532 K
winlogon.exe                   520 Console                    1     12 , 220 K
services.exe                   588 Services                   0      9 , 548 K
lsass.exe                      600 Services                   0     15 , 996 K
svchost.exe                    700 Services                   0     23 , 680 K
fontdrvhost.exe                724 Services                   0      3 , 692 K
fontdrvhost.exe                732 Console                    1      5 , 948 K
svchost.exe                    808 Services                   0     14 , 360 K
svchost.exe                    864 Services                   0     10 , 660 K
dwm.exe                        924 Console                    1     70 , 832 K
svchost.exe                    988 Services                   0      8 , 080 K
svchost.exe                   1000 Services                   0     11 , 672 K
svchost.exe                   1008 Services                   0     13 , 076 K
svchost.exe                    408 Services                   0     10 , 056 K
svchost.exe                    384 Services                   0      5 , 848 K
svchost.exe                    464 Services                   0      8 , 336 K
svchost.exe                   1068 Services                   0     19 , 700 K
svchost.exe                   1116 Services                   0     12 , 112 K
svchost.exe                   1124 Services                   0      8 , 240 K
